topic,termini,post_id,testo
15,"ukraine, russia, war, putin, president putin, zelenskyy",113986279826269375,"I am sending Secretary of the Treasury Scott Bessent to Ukraine to meet President Zelensky. This War MUST and WILL END SOON — Too much Death and Destruction. The U.S. has spent BILLIONS of Dollars Globally, with little to show. WHEN AMERICA IS STRONG, THE WORLD IS AT PEACE."
15,"ukraine, russia, war, putin, president putin, zelenskyy",113991956474899296,"I just had a lengthy and highly productive phone call with President Vladimir Putin of Russia. We discussed Ukraine, the Middle East, Energy, Artificial Intelligence, the power of the Dollar, and various other subjects. We both reflected on the Great History of our Nations, and the fact that we fought so successfully together in World War II, remembering, that Russia lost tens of millions of people, and we, likewise, lost so many! We each talked about the strengths of our respective Nations, and"
15,"ukraine, russia, war, putin, president putin, zelenskyy",113992264519415084,"I just spoke to President Volodymyr Zelenskyy of Ukraine. The conversation went very well. He, like President Putin, wants to make PEACE. We discussed a variety of topics having to do with the War, but mostly, the meeting that is being set up on Friday in Munich, where Vice President JD Vance and Secretary of State Marco Rubio will lead the Delegation. I am hopeful that the results of that meeting will be positive. It is time to stop this ridiculous War, where there has been massive, and totally"
15,"ukraine, russia, war, putin, president putin, zelenskyy",113996433848678436,"GREAT TALKS WITH RUSSIA AND UKRAINE YESTERDAY. GOOD POSSIBILITY OF ENDING THAT HORRIBLE, VERY BLOODY WAR!!!"
15,"ukraine, russia, war, putin, president putin, zelenskyy",114031332924234939,"Think of it, a modestly successful comedian, Volodymyr Zelenskyy, talked the United States of America into spending $350 Billion Dollars, to go into a War that couldn't be won, that never had to start, but a War that he, without the U.S. and ""TRUMP,"" will never be able to settle. The United States has spent $200 Billion Dollars more than Europe, and Europe's money is guaranteed, while the United States will get nothing back. Why didn't Sleepy Joe Biden demand Equalization, in that this War is fa"
15,"ukraine, russia, war, putin, president putin, zelenskyy",114033427089061668,"Elon Musk: ""The President's instincts on Ukraine are absolutely right. It is really sad that so many parents have lost their sons, and so many sons their fathers in this pointless war."""
15,"ukraine, russia, war, putin, president putin, zelenskyy",114082877976878390,"A Statement from President Donald J. Trump ""We had a very meaningful meeting in the White House today. Much was learned that could never be understood without conversation under such fire and pressure. It's amazing what comes out through emotion, and I have determined that President Zelenskyy is not ready for Peace if America is involved, because he feels our involvement gives him a big advantage in negotiations. I don't want advantage, I want PEACE. He disrespected the United States of America "
15,"ukraine, russia, war, putin, president putin, zelenskyy",114096104536926329,"We should spend less time worrying about Putin, and more time worrying about migrant rape gangs, drug lords, murderers, and people from mental institutions entering our Country - So that we don't end up like Europe!"
15,"ukraine, russia, war, putin, president putin, zelenskyy",114098529870362771,"The only President who gave none of Ukraine's land to Putin's Russia is President Donald J. Trump. Remember that when the weak and ineffective Democrat's criticize, and the Fake News gladly puts out anything they say!"
15,"ukraine, russia, war, putin, president putin, zelenskyy",114099480566604857,"This is the worst statement that could have been made by Zelenskyy, and America will not put up with it for much longer! It is what I was saying, this guy doesn't want there to be Peace as long as he has America's backing and, Europe, in the meeting they had with Zelenskyy, stated flatly that they cannot do the job without the U.S. – Probably not a great statement to have been made in terms of a show of strength against Russia. What are they thinking? apnews.com/article/russia-ukra"
