topic,n,catturati,copertura,termini
0,297,186,0.6262626262626263,"iran, nuclear, strait, hormuz, president, donald trump"
1,223,11,0.04932735426008968,"fake, news, fake news, times, york times, ratings"
2,168,1,0.005952380952380952,"white, white house, pool, ballroom, center, kennedy center"
3,161,8,0.049689440993788817,"tariffs, countries, tariff, united states, states, united"
4,105,1,0.009523809523809525,"honor, navy, army, day, white house, white"
5,102,0,0.0,"fbi, justthenews, justthenews com, com, government, com government"
6,102,0,0.0,"state, republican, governor, carolina, great, texas"
7,101,0,0.0,"border, ice, illegal, aliens, patrol, border patrol"
8,99,2,0.020202020202020204,"mark, interviewed, djt, mark levin, levin, great"
9,98,2,0.02040816326530612,"big beautiful, tax, beautiful, big, republicans, house"
10,95,0,0.0,"judge, case, judges, court, justice, country"
11,83,8,0.0963855421686747,"china, xi, president xi, trade, meeting, president"
12,73,8,0.1095890410958904,"jobs, economy, inflation, trump, numbers, 000"
13,72,5,0.06944444444444445,"late, powell, rates, fed, jerome, inflation"
14,71,0,0.0,"district, judge, law, court, district court, serve"
15,71,18,0.2535211267605634,"ukraine, russia, war, putin, president putin, zelenskyy"
16,68,0,0.0,"crime, chicago, city, washington, dc, mayor"
17,57,1,0.017543859649122806,"djt, president djt, president, djt great, djt thank, great"
18,56,0,0.0,"trump, president trump, days, president, promises, 100 days"
19,54,13,0.24074074074074073,"venezuela, oil, strike, united states, united, states"
20,52,1,0.019230769230769232,"pleased, secretary, announce, congratulations, served, deputy"
21,51,1,0.0196078431372549,"ambassador, pleased announce, announce, pleased, congratulations, serve united"
22,50,0,0.0,"filibuster, terminate filibuster, terminate, republicans, democrats, senate"
23,46,0,0.0,"book, new book, fight, copy, fight fight, written"
24,44,0,0.0,"video, youtube, live, youtube com, video great, com live"
25,44,1,0.022727272727272728,"canada, tariffs, justin, trudeau, united states, reagan"
26,42,0,0.0,"world cup, cup, world, andrew, great honor, honor"
27,41,1,0.024390243902439025,"hamas, hostages, gaza, israel, hostage, peace"
28,39,0,0.0,"minnesota, somalia, omar, fraud, walz, governor"
29,35,1,0.02857142857142857,"epa, energy, zeldin, lee zeldin, presidential ac, ac"
30,34,0,0.0,"water, los angeles, angeles, los, california, mexico"
31,34,0,0.0,"save america, save, america act, act, proof citizenship, america"
32,32,2,0.0625,"massie, kentucky, thomas massie, rand, thomas, congressman"
33,32,0,0.0,"million dollars, storms, state, million, flooding, severe"
34,31,14,0.45161290322580644,"prices, gasoline, gas, inflation, walmart, oil"
35,31,0,0.0,"letitia, letitia james, james, com, ny, new"
36,30,6,0.2,"nato, greenland, united, united states, states, states america"
37,26,7,0.2692307692307692,"israel, lebanon, bibi, bibi netanyahu, netanyahu, minister"
