gruppo,post_id,timestamp_utc,testo,attori_trovati,meccanismi_trovati,giudizio
dentro,115893658269457561,2026-01-14 13:21:25.215000+00:00,"NATO: Tell Denmark to get them out of here, NOW! Two dogsleds won't do it! Only the USA can!!! Danish intel warned last year about Russian and Chinese military goals toward Greenland and Arctic: justthenews.com/government/sec",['russian'],['military'],
dentro,116770180426363226,2026-06-18 08:32:31.915000+00:00,"These fools, who think I haven't been tough enough on Iran, when the Stock Market Just Hit A RECORD HIGH, and Oil prices are “tumbling” down, are either jealous, bad people, or stupid. MAKE AMERICA GREAT AGAIN!!! President DJT","['iran', 'market']",['oil'],
dentro,116376868752554780,2026-04-09 21:28:12.049000+00:00,"The Wall Street Journal, one of the worst and most inaccurate ""Editorial Boards"" in the World, stated that I ""declared premature victory in Iran."" Actually, it is a Victory, and there's nothing ""premature"" about it! Because of me, IRAN WILL NEVER HAVE A NUCLEAR WEAPON and, very quickly, you'll see Oil start flowing, with or without the help of Iran and, to me, it makes no difference, either way. The Wall Street Journal will, as usual, live to eat their words. They are always quick to criticize, but never to admit when they're wrong, which is most of the time! President DONALD J. TRUMP",['iran'],"['nuclear', 'oil']",
dentro,115866624593954329,2026-01-09 18:46:24.063000+00:00,"The largest Oil Companies in the World are coming to the White House at 2:30 P.M. Everybody wants to be there. It’s too bad that the Ballroom hasn’t completed because, if it were, it would be PACKED. We apologize to those Oil Companies that we cannot take today, but Secretary of Energy Chris Wright, and Secretary of the Interior Doug Burgum, will see them over the next week. Everyone is in daily contact. Today’s meeting will almost exclusively be a discussion on Venezuelan Oil, and our longterm relationship with Venezuela, its Security, and People. A very big factor in this involvement will be the reduction of Oil Prices for the American People. Additionally, and perhaps most importantly of all, will be the stoppage of Drugs and Criminals coming into the United States of America. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP","['venezuela', 'venezuelan']",['oil'],
dentro,115612007398266637,2025-11-25 19:33:53.982000+00:00,"Over the past week, my team has made tremendous progress with respect to ending the War between Russia and Ukraine (A War that would have NEVER started if I were President!). Last month 25,000 soldiers died. The original 28-Point Peace Plan, which was drafted by the United States, has been fine-tuned, with additional input from both sides, and there are only a few remaining points of disagreement. In the hopes of finalizing this Peace Plan, I have directed my Special Envoy Steve Witkoff to meet with President Putin in Moscow and, at the same time, Secretary of the Army Dan Driscoll will be meeting with the Ukrainians. I will be briefed on all progress made, along with Vice President JD Vance, Secretary of State Marco Rubio, Secretary of War Pete Hegseth, and White House Chief of Staff Susie Wiles. I look forward to hopefully meeting with President Zelenskyy and President Putin soon, but ONLY when the deal to end this War is FINAL or, in its final stages. Thank you for your attention to this very important matter, and let’s all hope that PEACE can be accomplished AS SOON AS POSSIBLE! DONALD J. TRUMP PRESIDENT OF THE UNITED STATES OF AMERICA","['moscow', 'putin', 'russia', 'ukraine', 'zelenskyy']",['war'],
dentro,116404390855989138,2026-04-14 18:07:26.020000+00:00,"I am working very hard with our Great Speaker, Mike Johnson, along with Chairman Jim Jordan and Chairman Rick Crawford, to get a clean extension of FISA 702 through the House of Representatives this week. I am asking Republicans to UNIFY, and vote together on the test vote to bring a clean Bill to the floor. We need to stick together when this Bill comes before the House Rules Committee today to keep it CLEAN! I was a victim of the worst and most illegal abuse of FISA in our Nation's History, by Radical Left Lunatics, who lied to the FISA Court to spy on my 2016 Presidential Campaign in their attempt to RIG the Election in favor of Crooked Hillary Clinton. Their use of this instrument in the 2020 Presidential Election was even worse! When the Dirty Cop, James Comey, the failed Head of the FBI, went after me, he was using FISA Title I, the Domestic Collection, not FISA 702, the Foreign Collection, which needs to be extended today. While parts of FISA were illegally and unfortunately used against me in the Democrats' disgraceful Witch Hunt and Attack in the RUSSIA, RUSSIA, RUSSIA Hoax, and perhaps would be used against me in the future, I am willing to risk that as a Citizen in order to do what is right for our Country. Our Military desperately needs FISA 702, and it is one of the reasons we have had such tremendous SUCCESS on the battlefield, both in Venezuela and Iran. Since the first day of my already Historic Second Term, my Administration has worked tirelessly to ensure these FISA Reforms are being aggressively executed at every level of the Executive Branch to keep Americans safe, while protecting our sacred Civil Liberties guaranteed by our Great Constitution. With the ongoing successful Military activities against the Terrorist Iranian Regime, it is more important than ever that we remain vigilant, PROTECT our Homeland, Troops, and Diplomats stationed abroad, and maintain our ability to quickly stop bad actors seeking to cause harm to our People and our Country. The fact is, whether you like FISA or not, it is extremely important to our Military. I have spoken to many Generals about this, and they consider it VITAL. Not one said, even tacitly, that they can do without it — especially right now with our brilliant Military Operation in Iran. Thank you for your attention to this matter! President DONALD J. TRUMP","['iran', 'iranian', 'russia', 'venezuela']","['attack', 'military']",
dentro,114616038217949758,2025-06-02 22:05:50.347000+00:00,"The AUTOPEN should have stopped Iran a long time ago from ""enriching."" Under our potential Agreement — WE WILL NOT ALLOW ANY ENRICHMENT OF URANIUM!",['iran'],['enrichment'],
dentro,115049902258471066,2025-08-18 13:03:10.223000+00:00,"We will only see the return of the remaining hostages when Hamas is confronted and destroyed!!! The sooner this takes place, the better the chances of success will be. Remember, I was the one who negotiated and got hundreds of hostages freed and released into Israel (and America!). I was the one who ended 6 wars, in just 6 months. I was the one who OBLITERATED Iran's Nuclear facilities. Play to WIN, or don't play at all! Thank you for your attention to this matter! President DJT",['iran'],"['destroyed', 'nuclear']",
dentro,114616192602509494,2025-06-02 22:45:06.068000+00:00,"Passing THE ONE, BIG, BEAUTIFUL BILL is a Historic Opportunity to turn our Country around after four disastrous years under Joe Biden. We will take a massive step to balancing our Budget by enacting the largest mandatory Spending Cut, EVER, and Americans will get to keep more of their money with the largest Tax Cut, EVER, and no longer taxing Tips, Overtime, or Social Security for Seniors — Something 80 Million Voters supported in November. It will unleash American Energy by expediting permitting for Energy, and refilling the Strategic Petroleum Reserve. It will make American Air Travel GREAT AGAIN by purchasing the final Air Traffic Control System. We will secure our skies from our adversaries by building The Golden Dome, and secure our Border by building more of our Wall, and supercharging the deportation of the millions of Criminal Illegals Joe Biden allowed to walk right into our Country. It will kick millions of Illegals off Medicaid, and make sure SNAP is focused on Americans ONLY! It will also restore Choice and Affordability for Car purchases by REPEALING Biden’s EV Mandate, and all of the GREEN NEW SCAM Tax Credits and Spending. THE ONE, BIG, BEAUTIFUL BILL also protects our beautiful children by stopping funding for sick sex changes for minors. With the Senate coming back to Washington today, I call on all of my Republican friends in the Senate and House to work as fast as they can to get this Bill to MY DESK before the Fourth of JULY. Thank you for your attention to this matter!",['strategic petroleum reserve'],['petroleum'],
dentro,116253527175738987,2026-03-19 02:40:48.946000+00:00,Graham tears into European allies over Strait of Hormuz reluctance: thehill.com/homenews/senate/57,['hormuz'],['strait'],
dentro,114672438335170335,2025-06-12 21:09:07.838000+00:00,"We remain committed to a Diplomatic Resolution to the Iran Nuclear Issue! My entire Administration has been directed to negotiate with Iran. They could be a Great Country, but they first must completely give up hopes of obtaining a Nuclear Weapon. Thank you for your attention to this matter!",['iran'],['nuclear'],
