episodio_id,inizio,fine,n_post,n_parole_tot,primo_post,testo_unito,durata_min
1,2024-12-04 17:21:24.121000+00:00,2024-12-04 17:21:24.121000+00:00,1,169,113595703893773894,"I am pleased to nominate Gail Slater as Assistant Attorney General for the Antitrust Division at the Department of Justice. Big Tech has run wild for years, stifling competition in our most innovative sector and, as we all know, using its market power to crack down on the rights of so many Americans, as well as those of Little Tech! I was proud to fight these abuses in my First Term, and our Department of Justice's antitrust team will continue that work under Gail's leadership. Gail previously served at the FTC, in my National Economic Council and, most recently, advising Vice President-Elect JD Vance in his Senate office. Gail has also worked in the private sector, in Media at FOX, and in the Tech sector at Roku. In her new role, Gail will help ensure that our competition laws are enforced, both vigorously and FAIRLY, with clear rules that facilitate, rather than stifle, the ingenuity of our greatest companies. Congratulations Gail - Together, we will Make America Competitive Again!",0.0
2,2024-12-08 07:00:42.261000+00:00,2024-12-08 07:00:42.261000+00:00,1,175,113615912452824634,"Assad is gone. He has fled his country. His protector, Russia, Russia, Russia, led by Vladimir Putin, was not interested in protecting him any longer. There was no reason for Russia to be there in the first place. They lost all interest in Syria because of Ukraine, where close to 600,000 Russian soldiers lay wounded or dead, in a war that should never have started, and could go on forever. Russia and Iran are in a weakened state right now, one because of Ukraine and a bad economy, the other because of Israel and its fighting success. Likewise, Zelenskyy and Ukraine would like to make a deal and stop the madness. They have ridiculously lost 400,000 soldiers, and many more civilians. There should be an immediate ceasefire and negotiations should begin. Too many lives are being so needlessly wasted, too many families destroyed, and if it keeps going, it can turn into something much bigger, and far worse. I know Vladimir well. This is his time to act. China can help. The World is waiting!",0.0
3,2025-01-03 21:16:19.532000+00:00,2025-01-03 21:16:19.532000+00:00,1,177,113766496962657828,"I am pleased to announce Morgan Ortagus as Deputy Special Presidential Envoy for Middle East Peace, to the Honorable Steven Witkoff. Early on Morgan fought me for three years, but hopefully has learned her lesson. These things usually don’t work out, but she has strong Republican support, and I’m not doing this for me, I’m doing it for them. Let’s see what happens. She will hopefully be an asset to Steve, a great leader and talent, as we seek to bring calm and prosperity to a very troubled region. I expect great results, and soon! Morgan Ortagus has had experience in Diplomacy and National Security, and is an active U.S. Navy Reserve Intelligence Officer. From 2019-2021, Morgan served as Spokesperson at the Department of State (Pompeo!), where she was a member of my Historic Abraham Accords team that brought unprecedented Peace to the Middle East. Earlier, she worked at the Department of the Treasury as a financial intelligence analyst and, from 2010-2011, was the Deputy U.S. Treasury Attaché to the Kingdom of Saudi Arabia. Good luck Morgan!",0.0
4,2025-01-03 23:27:33.461000+00:00,2025-01-03 23:27:33.461000+00:00,1,129,113767012988447810,"I am pleased to announce the nomination of Roman Pipko to serve as the next United States Ambassador to the Republic of Estonia. Roman was born and raised in Estonia. He has extensive experience in dealing with Foreign Governments, having represented U.S. interests in the European Bank for Reconstruction and Development, and the Russian American Enterprise Fund. Roman has represented American companies, negotiating projects in Mongolia, Africa, Russia, Western Europe, and his native Estonia, in cooperation with U.S. Government Agencies, and has worked with Foreign Governments on the enforcement of U.S. sanctions. Roman is a graduate of Columbia University and Yale Law School. As a legal immigrant, he has lived the promise of America, and I trust that he will advance American interests in his new role. Congratulations Roman!",0.0
5,2025-01-06 17:52:32.718000+00:00,2025-01-06 17:52:32.718000+00:00,1,78,113782682597333035,"Many people in Canada LOVE being the 51st State. The United States can no longer suffer the massive Trade Deficits and Subsidies that Canada needs to stay afloat. Justin Trudeau knew this, and resigned. If Canada merged with the U.S., there would be no Tariffs, taxes would go way down, and they would be TOTALLY SECURE from the threat of the Russian and Chinese Ships that are constantly surrounding them. Together, what a great Nation it would be!!!",0.0
6,2025-01-22 15:46:08.861000+00:00,2025-01-22 15:46:08.861000+00:00,1,170,113872782548137314,"I'm not looking to hurt Russia. I love the Russian people, and always had a very good relationship with President Putin - and this despite the Radical Left's Russia, Russia, Russia HOAX. We must never forget that Russia helped us win the Second World War, losing almost 60,000,000 lives in the process. All of that being said, I'm going to do Russia, whose Economy is failing, and President Putin, a very big FAVOR. Settle now, and STOP this ridiculous War! IT'S ONLY GOING TO GET WORSE. If we don't make a ""deal,"" and soon, I have no other choice but to put high levels of Taxes, Tariffs, and Sanctions on anything being sold by Russia to the United States, and various other participating countries. Let's get this war, which never would have started if I were President, over with! We can do it the easy way, or the hard way - and the easy way is always better. It's time to ""MAKE A DEAL."" NO MORE LIVES SHOULD BE LOST!!!",0.0
7,2025-02-05 11:17:05.718000+00:00,2025-02-05 11:17:05.718000+00:00,1,80,113950996936674770,"I want Iran to be a great and successful Country, but one that cannot have a Nuclear Weapon. Reports that the United States, working in conjunction with Israel, is going to blow Iran into smithereens,"" ARE GREATLY EXAGGERATED. I would much prefer a Verified Nuclear Peace Agreement, which will let Iran peacefully grow and prosper. We should start working on it immediately, and have a big Middle East Celebration when it is signed and completed. God Bless the Middle East!",0.0
8,2025-02-24 17:00:18.858000+00:00,2025-02-24 17:00:18.858000+00:00,1,171,114059930426328863,"Today, President Emmanuel Macron of France joined me in the Oval Office to speak to the G7 Summit. The meeting was convened by Governor Justin Trudeau of Canada, the current chair of G7, to acknowledge the Third Anniversary of the Russia-Ukraine War – Which would have never started if I was President. Everyone expressed their goal of seeing the War end, and I emphasized the importance of the vital ""Critical Minerals and Rare-Earths Deal"" between the United States and Ukraine, which we hope will be signed very soon! This deal, which is an ""Economic Partnership,"" will ensure the American people recoup the Tens of Billions of Dollars and Military Equipment sent to Ukraine, while also helping Ukraine's economy grow as this Brutal and Savage War comes to an end. At the same time, I am in serious discussions with President Vladimir Putin of Russia concerning the ending of the War, and also major Economic Development transactions which will take place between the United States and Russia. Talks are proceeding very well!",0.0
9,2025-03-07 14:17:41.266000+00:00,2025-03-07 14:17:41.266000+00:00,1,57,114121576367163341,"Based on the fact that Russia is absolutely ""pounding"" Ukraine on the battlefield right now, I am strongly considering large scale Banking Sanctions, Sanctions, and Tariffs on Russia until a Cease Fire and FINAL SETTLEMENT AGREEMENT ON PEACE IS REACHED. To Russia and Ukraine, get to the table right now, before it is too late. Thank you!!!",0.0
10,2025-03-11 20:08:22.195000+00:00,2025-03-11 20:08:22.195000+00:00,1,41,114145604547078768,"The price of eggs have come down, interest rates have come down, gasoline prices have come down—It's all coming down! We're doing it the right way, and I have tremendous confidence in this Country and in the people of this Country…",0.0
11,2025-03-13 12:56:22.783000+00:00,2025-03-13 12:56:22.783000+00:00,1,92,114155230513269064,"The Globalist Wall Street Journal has no idea what they are doing or saying. They are owned by the polluted thinking of the European Union, which was formed for the primary purpose of ""screwing"" the United States of America. Their (WSJ!) thinking is antiquated and weak, and very bad for the USA. But have no fear, we will WIN on everything!!! Egg prices are down, oil is down, interest rates are down, and TARIFF RELATED MONEY IS POURING INTO THE UNITED STATES. ""The only thing you have to fear, is fear itself!""",0.0
12,2025-03-14 13:33:39.916000+00:00,2025-03-14 13:33:39.916000+00:00,1,86,114161039436456514,"We had very good and productive discussions with President Vladimir Putin of Russia yesterday, and there is a very good chance that this horrible, bloody war can finally come to an end — BUT, AT THIS VERY MOMENT, THOUSANDS OF UKRAINIAN TROOPS ARE COMPLETELY SURROUNDED BY THE RUSSIAN MILITARY, AND IN A VERY BAD AND VULNERABLE POSITION. I have strongly requested to President Putin that their lives be spared. This would be a horrible massacre, one not seen since World War II. God bless them all!!!",0.0
13,2025-03-15 18:29:28.046000+00:00,2025-03-15 18:34:55.426000+00:00,2,387,114167864888304754,"Today, I have ordered the United States Military to launch decisive and powerful Military action against the Houthi terrorists in Yemen. They have waged an unrelenting campaign of piracy, violence, and terrorism against American, and other, ships, aircraft, and drones. Joe Biden's response was pathetically weak, so the unrestrained Houthis just kept going. It has been over a year since a U.S. flagged commercial ship safely sailed through the Suez Canal, the Red Sea, or the Gulf of Aden. The last American Warship to go through the Red Sea, four months ago, was attacked by the Houthis over a dozen times. Funded by Iran, the Houthi thugs have fired missiles at U.S. aircraft, and targeted our Troops and Allies. These relentless assaults have cost the U.S. and World Economy many BILLIONS of Dollars while, at the same time, putting innocent lives at risk. The Houthi attack on American vessels will not be tolerated. We will use overwhelming lethal force until we have achieved our objective. The Houthis have choked off shipping in one of the most important Waterways of the World, grinding vast swaths of Global Commerce to a halt, and attacking the core principle of Freedom of Navigation upon which International Trade and Commerce depends. Our brave Warfighters are right now carrying out aerial attacks on the terrorists' bases, leaders, and missile defenses to protect American shipping, air, and naval assets, and to restore Navigational Freedom. No terrorist force will stop American commercial and naval vessels from freely sailing the Waterways of the World. To all Houthi terrorists, YOUR TIME IS UP, AND YOUR ATTACKS MUST STOP, STARTING TODAY. IF THEY DON'T, HELL WILL RAIN DOWN UPON YOU LIKE NOTHING YOU HAVE EVER SEEN BEFORE! To Iran: Support for the Houthi terrorists must end IMMEDIATELY! Do NOT threaten the American People, their President, who has received one of the largest mandates in Presidential History, or Worldwide shipping lanes. If you do, BEWARE, because America will hold you fully accountable and, we won't be nice about it! || I am pleased to inform you that General Keith Kellogg has been appointed Special Envoy to Ukraine. General Kellogg, a Highly Respected Military Expert, will deal directly with President Zelenskyy, and Ukrainian leadership. He knows them well, and they have a very good working relationship together. Congratulations to General Kellogg!",5.456333333333333
14,2025-03-17 15:29:51.373000+00:00,2025-03-17 15:29:51.373000+00:00,1,151,114178483249053992,"Let nobody be fooled! The hundreds of attacks being made by Houthi, the sinister mobsters and thugs based in Yemen, who are hated by the Yemeni people, all emanate from, and are created by, IRAN. Any further attack or retaliation by the ""Houthis"" will be met with great force, and there is no guarantee that that force will stop there. Iran has played ""the innocent victim"" of rogue terrorists from which they've lost control, but they haven't lost control. They're dictating every move, giving them the weapons, supplying them with money and highly sophisticated Military equipment, and even, so-called, ""Intelligence."" Every shot fired by the Houthis will be looked upon, from this point forward, as being a shot fired from the weapons and leadership of IRAN, and IRAN will be held responsible, and suffer the consequences, and those consequences will be dire!DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA",0.0
15,2025-03-19 16:27:36.092000+00:00,2025-03-19 16:27:36.092000+00:00,1,87,114190034933659125,"Reports are coming in that while Iran has lessened its intensity on Military Equipment and General Support to the Houthis, they are still sending large levels of Supplies. Iran must stop the sending of these Supplies IMMEDIATELY. Let the Houthis fight it out themselves. Either way they lose, but this way they lose quickly. Tremendous damage has been inflicted upon the Houthi barbarians, and watch how it will get progressively worse — It's not even a fair fight, and never will be. They will be completely annihilated!",0.0
16,2025-03-21 03:47:24.360000+00:00,2025-03-21 03:47:24.360000+00:00,1,39,114198370343993836,"Egg prices are WAY DOWN from the Biden inspired prices if just a few weeks ago. ""Groceries"" and Gasoline are down, also. Now, if the Fed would do the right thing and lower interest rates, that would be great!!!",0.0
17,2025-03-24 14:37:40.849000+00:00,2025-03-24 14:37:40.849000+00:00,1,210,114217914259825110,"President Donald J. Trump announced today that the United States of America will be putting what is known as a Secondary Tariff on the Country of Venezuela, for numerous reasons, including the fact that Venezuela has purposefully and deceitfully sent to the United States, undercover, tens of thousands of high level, and other, criminals, many of whom are murderers and people of a very violent nature. Among the gangs they sent to the United States, is Tren de Aragua, which has been given the designation of ""Foreign Terrorist Organization."" We are in the process of returning them to Venezuela — It is a big task! In addition, Venezuela has been very hostile to the United States and the Freedoms which we espouse. Therefore, any Country that purchases Oil and/or Gas from Venezuela will be forced to pay a Tariff of 25% to the United States on any Trade they do with our Country. All documentation will be signed and registered, and the Tariff will take place on April 2nd, 2025, LIBERATION DAY IN AMERICA. Please let this notification serve to represent that the Department of Homeland Security, Border Patrol, and all other Law Enforcement Agencies within our Country have been so notified. Thank you for your attention to this matter!",0.0
18,2025-03-31 18:15:19.790000+00:00,2025-03-31 18:15:19.790000+00:00,1,107,114258406263396157,"The Iran-backed Houthi Terrorists have been decimated by the relentless strikes over the past two weeks. Many of their Fighters and Leaders are no longer with us. We hit them every day and night — Harder and harder. Their capabilities that threaten Shipping and the Region are rapidly being destroyed. Our attacks will continue until they are no longer a threat to Freedom of Navigation. The choice for the Houthis is clear: Stop shooting at U.S. ships, and we will stop shooting at you. Otherwise, we have only just begun, and the real pain is yet to come, for both the Houthis and their sponsors in Iran.",0.0
19,2025-04-01 15:21:48.549000+00:00,2025-04-01 15:21:48.549000+00:00,1,43,114263386262728170,"My telephone call with President El-Sisi, of Egypt, went very well. We discussed numerous topics, among which was the tremendous Military progress we have made against the Ship destroying Houthis in Yemen — Also discussed was Gaza, and possible solutions, Military preparedness, etc.",0.0
20,2025-04-03 19:17:09.038000+00:00,2025-04-03 19:17:09.038000+00:00,1,11,114275636283855793,I think it's going very well—The MARKETS are going to BOOM…,0.0
21,2025-04-04 21:40:56.526000+00:00,2025-04-04 21:40:56.526000+00:00,1,24,114281864005346951,"These Houthis gathered for instructions on an attack. Oops, there will be no attack by these Houthis! They will never sink our ships again!",0.0
22,2025-04-07 10:49:07.053000+00:00,2025-04-07 10:49:07.053000+00:00,1,125,114296287858068040,"Oil prices are down, interest rates are down (the slow moving Fed should cut rates!), food prices are down, there is NO INFLATION, and the long time abused USA is bringing in Billions of Dollars a week from the abusing countries on Tariffs that are already in place. This is despite the fact that the biggest abuser of them all, China, whose markets are crashing, just raised its Tariffs by 34%, on top of its long term ridiculously high Tariffs (Plus!), not acknowledging my warning for abusing countries not to retaliate. They've made enough, for decades, taking advantage of the Good OL' USA! Our past ""leaders"" are to blame for allowing this, and so much else, to happen to our Country. MAKE AMERICA GREAT AGAIN!",0.0
23,2025-04-07 19:07:51.744000+00:00,2025-04-07 19:07:51.744000+00:00,1,18,114298249002673077,"""What we're not talking about is, oil was $76, now it's $65. Gasoline prices are going to plummet…""",0.0
24,2025-04-14 14:12:30.017000+00:00,2025-04-14 14:12:30.017000+00:00,1,125,114336723764365914,"The War between Russia and Ukraine is Biden's war, not mine. I just got here, and for four years during my term, had no problem in preventing it from happening. President Putin, and everyone else, respected your President! I HAD NOTHING TO DO WITH THIS WAR, BUT AM WORKING DILIGENTLY TO GET THE DEATH AND DESTRUCTION TO STOP. If the 2020 Presidential Election was not RIGGED, and it was, in so many ways, that horrible War would never have happened. President Zelenskyy and Crooked Joe Biden did an absolutely horrible job in allowing this travesty to begin. There were so many ways of preventing it from ever starting. But that is the past. Now we have to get it to STOP, AND FAST. SO SAD!",0.0
25,2025-04-16 03:31:11.604000+00:00,2025-04-16 03:31:11.604000+00:00,1,35,114345526663892197,"The United States is taking in RECORD NUMBERS in Tariffs, with the cost of almost all products going down, including gasoline, groceries, and just about everything else. Likewise, INFLATION is down. Promises Made, Promises Kept!",0.0
26,2025-04-17 10:12:16.366000+00:00,2025-04-17 10:12:16.366000+00:00,1,81,114352766082542122,"The ECB is expected to cut interest rates for the 7th time, and yet, ""Too Late"" Jerome Powell of the Fed, who is always TOO LATE AND WRONG, yesterday issued a report which was another, and typical, complete ""mess!"" Oil prices are down, groceries (even eggs!) are down, and the USA is getting RICH ON TARIFFS. Too Late should have lowered Interest Rates, like the ECB, long ago, but he should certainly lower them now. Powell's termination cannot come fast enough!",0.0
